iter	Passed	Remaining
0	25	12550
1	45	11286
2	74	12366
3	97	12044
4	114	11295
5	129	10656
6	141	9997
7	154	9490
8	166	9106
9	179	8788
10	192	8554
11	205	8349
12	218	8201
13	231	8042
14	244	7917
15	258	7809
16	271	7702
17	284	7606
18	297	7536
19	310	7453
20	322	7361
21	335	7299
22	349	7244
23	363	7210
24	379	7201
25	393	7166
26	406	7116
27	419	7071
28	432	7020
29	444	6965
30	457	6924
31	470	6882
32	483	6849
33	497	6816
34	510	6786
35	523	6746
36	537	6726
37	551	6702
38	564	6674
39	577	6642
40	590	6615
41	605	6598
42	617	6565
43	631	6548
44	644	6521
45	658	6499
46	671	6467
47	683	6440
48	697	6419
49	709	6389
50	723	6368
51	736	6344
52	748	6316
53	761	6290
54	774	6268
55	787	6246
56	803	6241
57	817	6227
58	831	6212
59	845	6197
60	858	6179
61	871	6157
62	884	6138
63	897	6117
64	911	6099
65	924	6078
66	937	6060
67	950	6040
68	964	6025
69	978	6009
70	991	5993
71	1005	5975
72	1019	5961
73	1031	5938
74	1045	5924
75	1058	5905
76	1072	5889
77	1085	5874
78	1098	5855
79	1111	5837
80	1124	5817
81	1137	5799
82	1151	5785
83	1164	5768
84	1178	5752
85	1191	5737
86	1205	5721
87	1217	5702
88	1231	5687
89	1246	5678
90	1260	5666
91	1274	5650
92	1288	5639
93	1303	5628
94	1317	5616
95	1331	5603
96	1345	5589
97	1358	5574
98	1372	5559
99	1386	5544
100	1398	5526
101	1411	5508
102	1425	5494
103	1440	5483
104	1452	5464
105	1465	5447
106	1479	5432
107	1492	5417
108	1506	5404
109	1519	5388
110	1532	5370
111	1545	5355
112	1558	5338
113	1571	5322
114	1585	5307
115	1598	5293
116	1611	5276
117	1625	5263
118	1638	5245
119	1651	5230
120	1665	5216
121	1678	5199
122	1691	5184
123	1705	5171
124	1719	5158
125	1734	5148
126	1748	5136
127	1762	5123
128	1776	5108
129	1789	5093
130	1803	5079
131	1816	5065
132	1830	5050
133	1844	5037
134	1857	5022
135	1871	5008
136	1885	4995
137	1898	4980
138	1912	4965
139	1925	4951
140	1938	4936
141	1952	4922
142	1965	4907
143	1978	4892
144	1992	4878
145	2005	4863
146	2018	4847
147	2031	4831
148	2043	4814
149	2057	4801
150	2071	4787
151	2084	4772
152	2098	4758
153	2112	4745
154	2125	4730
155	2139	4716
156	2152	4703
157	2167	4691
158	2181	4679
159	2196	4667
160	2210	4654
161	2224	4641
162	2238	4627
163	2251	4613
164	2265	4598
165	2278	4584
166	2292	4570
167	2306	4557
168	2319	4543
169	2333	4530
170	2347	4516
171	2361	4502
172	2375	4489
173	2388	4475
174	2401	4460
175	2414	4445
176	2428	4431
177	2442	4418
178	2455	4404
179	2469	4390
180	2483	4376
181	2496	4361
182	2509	4347
183	2524	4334
184	2537	4321
185	2550	4305
186	2563	4290
187	2577	4277
188	2591	4263
189	2604	4249
190	2619	4237
191	2634	4225
192	2648	4213
193	2663	4201
194	2677	4188
195	2691	4173
196	2704	4159
197	2717	4144
198	2730	4129
199	2743	4115
200	2757	4101
201	2771	4088
202	2785	4074
203	2799	4061
204	2812	4047
205	2826	4033
206	2839	4019
207	2852	4005
208	2866	3990
209	2880	3977
210	2893	3963
211	2906	3948
212	2920	3935
213	2934	3921
214	2947	3907
215	2961	3893
216	2974	3879
217	2989	3866
218	3003	3853
219	3016	3839
220	3030	3825
221	3043	3811
222	3056	3796
223	3070	3782
224	3084	3769
225	3098	3756
226	3114	3745
227	3128	3732
228	3142	3718
229	3155	3704
230	3168	3690
231	3181	3675
232	3194	3661
233	3208	3646
234	3220	3631
235	3233	3617
236	3247	3603
237	3261	3590
238	3275	3576
239	3288	3562
240	3302	3548
241	3316	3535
242	3329	3521
243	3342	3506
244	3356	3493
245	3369	3478
246	3382	3464
247	3395	3450
248	3409	3436
249	3423	3423
250	3437	3410
251	3450	3396
252	3465	3382
253	3478	3368
254	3491	3354
255	3505	3341
256	3517	3326
257	3532	3313
258	3547	3301
259	3562	3288
260	3576	3275
261	3591	3262
262	3605	3248
263	3618	3234
264	3632	3221
265	3645	3206
266	3658	3192
267	3672	3178
268	3685	3165
269	3699	3151
270	3713	3137
271	3727	3124
272	3740	3110
273	3754	3096
274	3767	3082
275	3781	3069
276	3795	3055
277	3808	3041
278	3821	3027
279	3835	3013
280	3848	2999
281	3862	2985
282	3875	2971
283	3888	2957
284	3901	2943
285	3914	2929
286	3928	2915
287	3942	2901
288	3955	2888
289	3970	2874
290	3983	2861
291	3998	2848
292	4012	2834
293	4026	2821
294	4040	2807
295	4054	2794
296	4068	2780
297	4081	2766
298	4095	2752
299	4108	2739
300	4122	2725
301	4135	2711
302	4149	2697
303	4162	2684
304	4176	2670
305	4190	2656
306	4203	2642
307	4217	2628
308	4231	2615
309	4244	2601
310	4257	2587
311	4271	2573
312	4285	2560
313	4299	2546
314	4312	2532
315	4325	2518
316	4338	2504
317	4352	2490
318	4366	2477
